Name,Title,Transcript,Source URL
Matt Ramsay,"Vice President, Investor Relations",Advanced Micro Devices (AMD) Q4 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/05/advanced-micro-devices-amd-q4-2024-earnings-call-t/
Lisa T. Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q4 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/05/advanced-micro-devices-amd-q4-2024-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer",Advanced Micro Devices (AMD) Q4 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/05/advanced-micro-devices-amd-q4-2024-earnings-call-t/
Mitch Haws,"Vice President, Investor Relations",Advanced Micro Devices (AMD) Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/10/29/advanced-micro-devices-amd-q3-2024-earnings-call-t/
Lisa T. Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/10/29/advanced-micro-devices-amd-q3-2024-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer",Advanced Micro Devices (AMD) Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/10/29/advanced-micro-devices-amd-q3-2024-earnings-call-t/
Mitch Haws,"Vice President, Investor Relations",Advanced Micro Devices (AMD) Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/07/30/advanced-micro-devices-amd-q2-2024-earnings-call-t/
Lisa T. Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/07/30/advanced-micro-devices-amd-q2-2024-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer",Advanced Micro Devices (AMD) Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/07/30/advanced-micro-devices-amd-q2-2024-earnings-call-t/
Mitch Haws,Head of Investor Relations,Advanced Micro Devices (AMD) Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/04/30/advanced-micro-devices-amd-q1-2024-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/04/30/advanced-micro-devices-amd-q1-2024-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer and Treasurer",Advanced Micro Devices (AMD) Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/04/30/advanced-micro-devices-amd-q1-2024-earnings-call-t/
Mitch Haws,Head of Investor Relations,Advanced Micro Devices (AMD) Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/31/advanced-micro-devices-amd-q4-2023-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/31/advanced-micro-devices-amd-q4-2023-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer and Treasurer",Advanced Micro Devices (AMD) Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/31/advanced-micro-devices-amd-q4-2023-earnings-call-t/
Mitch Haws,Head of Investor Relations,Advanced Micro Devices (AMD) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/10/31/advanced-micro-devices-amd-q3-2023-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/10/31/advanced-micro-devices-amd-q3-2023-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer and Treasurer",Advanced Micro Devices (AMD) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/10/31/advanced-micro-devices-amd-q3-2023-earnings-call-t/
Mitch Haws,Head of Investor Relations,Advanced Micro Devices (AMD) Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/01/advanced-micro-devices-amd-q2-2023-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/01/advanced-micro-devices-amd-q2-2023-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer",Advanced Micro Devices (AMD) Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/01/advanced-micro-devices-amd-q2-2023-earnings-call-t/
Ruth Cotter,"Senior Vice President, Worldwide Marketing, Human Resources, and Investor Relations",Advanced Micro Devices (AMD) Q1 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/02/advanced-micro-devices-amd-q1-2023-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q1 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/02/advanced-micro-devices-amd-q1-2023-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer and Treasurer",Advanced Micro Devices (AMD) Q1 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/02/advanced-micro-devices-amd-q1-2023-earnings-call-t/
Ruth Cotter,"Senior Vice President, Worldwide Marketing, Human Resources, and Investor Relations",Advanced Micro Devices (AMD) Q4 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/01/advanced-micro-devices-amd-q4-2022-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q4 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/01/advanced-micro-devices-amd-q4-2022-earnings-call-t/
Jean Hu,"Executive Vice President, Chief Financial Officer, and Treasurer",Advanced Micro Devices (AMD) Q4 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/01/advanced-micro-devices-amd-q4-2022-earnings-call-t/
Ruth Cotter,"Senior Vice President, Worldwide Marketing, Human Resources, and Investor Relations",Advanced Micro Devices (AMD) Q3 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/01/advanced-micro-devices-amd-q3-2022-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q3 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/01/advanced-micro-devices-amd-q3-2022-earnings-call-t/
Devinder Kumar,"Executive Vice President, Chief Financial Officer, and Treasurer",Advanced Micro Devices (AMD) Q3 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/01/advanced-micro-devices-amd-q3-2022-earnings-call-t/
Laura Graves,"Corporate Vice President, Investor Relations",Advanced Micro Devices (AMD) Q2 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/08/02/advanced-micro-devices-amd-q2-2022-earnings-call-t/
Devinder Kumar,"Executive Vice President, Chief Financial Officer, and Treasurer",Advanced Micro Devices (AMD) Q2 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/08/02/advanced-micro-devices-amd-q2-2022-earnings-call-t/
Laura Graves,"Corporate Vice President, Investor Relations",Advanced Micro Devices (AMD) Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/04/advanced-micro-devices-amd-q1-2022-earnings-call-t/
Devinder Kumar,"Executive Vice President, Chief Financial Officer and Treasurer",Advanced Micro Devices (AMD) Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/04/advanced-micro-devices-amd-q1-2022-earnings-call-t/
Laura Graves,"Corporate Vice President, Investor Relations",Advanced Micro Devices (AMD) Q4 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/02/02/advanced-micro-devices-amd-q4-2021-earnings-call-t/
Lisa Su,President and Chief Executive Officer,Advanced Micro Devices (AMD) Q4 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/02/02/advanced-micro-devices-amd-q4-2021-earnings-call-t/
Devinder Kumar,"Executive Vice President, Chief Financial Officer, and Treasurer",Advanced Micro Devices (AMD) Q4 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/02/02/advanced-micro-devices-amd-q4-2021-earnings-call-t/
Laura Graves,"Corporate Vice President, Investor Relations",Advanced Micro Devices (AMD) Q3 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/10/27/advanced-micro-devices-amd-q3-2021-earnings-call-t/
