Name,Title,Transcript,Source URL
Stewart Stecker,"Senior Director, Investor Relations",Nvidia (NVDA) Q4 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/26/nvidia-nvda-q4-2025-earnings-call-transcript/
Colette M. Kress,"Chief Financial Officer, Executive Vice President",Nvidia (NVDA) Q4 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/26/nvidia-nvda-q4-2025-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q4 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/26/nvidia-nvda-q4-2025-earnings-call-transcript/
Stewart Stecker,"Senior Director, Investor Relations",Nvidia (NVDA) Q3 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/11/20/nvidia-nvda-q3-2025-earnings-call-transcript/
Colette M. Kress,"Chief Financial Officer, Executive Vice President",Nvidia (NVDA) Q3 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/11/20/nvidia-nvda-q3-2025-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q3 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/11/20/nvidia-nvda-q3-2025-earnings-call-transcript/
Stewart Stecker,"Senior Director, Investor Relations",Nvidia (NVDA) Q2 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/08/28/nvidia-nvda-q2-2025-earnings-call-transcript/
Colette M. Kress,"Chief Financial Officer, Executive Vice President",Nvidia (NVDA) Q2 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/08/28/nvidia-nvda-q2-2025-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q2 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/08/28/nvidia-nvda-q2-2025-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",Nvidia (NVDA) Q1 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/05/29/nvidia-nvda-q1-2025-earnings-call-transcript/
Colette Kress,"Executive Vice President, Chief Financial Officer",Nvidia (NVDA) Q1 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/05/29/nvidia-nvda-q1-2025-earnings-call-transcript/
Jensen Huang,President and Chief Operating Officer,Nvidia (NVDA) Q1 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/05/29/nvidia-nvda-q1-2025-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",Nvidia (NVDA) Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/11/22/nvidia-nvda-q3-2024-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,Nvidia (NVDA) Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/11/22/nvidia-nvda-q3-2024-earnings-call-transcript/
Jen-Hsun Huang,President and Chief Executive Officer,Nvidia (NVDA) Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/11/22/nvidia-nvda-q3-2024-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",Nvidia (NVDA) Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/23/nvidia-nvda-q2-2024-earnings-call-transcript/
Colette Kress,"Executive Vice President, Chief Financial Officer",Nvidia (NVDA) Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/23/nvidia-nvda-q2-2024-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q2 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/08/23/nvidia-nvda-q2-2024-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",Nvidia (NVDA) Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/24/nvidia-nvda-q1-2024-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,Nvidia (NVDA) Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/24/nvidia-nvda-q1-2024-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q1 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/05/24/nvidia-nvda-q1-2024-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",Nvidia (NVDA) Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/22/nvidia-nvda-q4-2023-earnings-call-transcript/
Colette Kress,"Executive Vice President, Chief Financial Officer",Nvidia (NVDA) Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/22/nvidia-nvda-q4-2023-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/02/22/nvidia-nvda-q4-2023-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",Nvidia (NVDA) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/16/nvidia-nvda-q3-2023-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,Nvidia (NVDA) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/16/nvidia-nvda-q3-2023-earnings-call-transcript/
Jen-Hsun Huang,President and Chief Executive Officer,Nvidia (NVDA) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/11/16/nvidia-nvda-q3-2023-earnings-call-transcript/
Simona Jankowski,Vice President of Investor Relations,Nvidia (NVDA) Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/08/24/nvidia-nvda-q2-2023-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,Nvidia (NVDA) Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/08/24/nvidia-nvda-q2-2023-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/08/24/nvidia-nvda-q2-2023-earnings-call-transcript/
Simona Jankowski,Vice President of Investor Relations,Nvidia (NVDA) Q1 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/26/nvidia-nvda-q1-2023-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,Nvidia (NVDA) Q1 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/26/nvidia-nvda-q1-2023-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q1 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/26/nvidia-nvda-q1-2023-earnings-call-transcript/
Simona Jankowski,Vice President of Investor Relations,Nvidia (NVDA) Q4 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/02/17/nvidia-nvda-q4-2022-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,Nvidia (NVDA) Q4 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/02/17/nvidia-nvda-q4-2022-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,Nvidia (NVDA) Q4 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/02/17/nvidia-nvda-q4-2022-earnings-call-transcript/
Simona Jankowski,Investor Relations,NVIDIA Corporation (NVDA) Q3 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/11/18/nvidia-corporation-nvda-q3-2021-earnings-call-tran/
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corporation (NVDA) Q3 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/11/18/nvidia-corporation-nvda-q3-2021-earnings-call-tran/
Jensen Huang,"Founder, President and Chief Executive Officer",NVIDIA Corporation (NVDA) Q3 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/11/18/nvidia-corporation-nvda-q3-2021-earnings-call-tran/
Simona Jankowski,Investor Relations,NVIDIA Corporation (NVDA) Q2 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/08/18/nvidia-corporation-nvda-q2-2022-earnings-call-tran/
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corporation (NVDA) Q2 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/08/18/nvidia-corporation-nvda-q2-2022-earnings-call-tran/
Jensen Huang,"Founder, President and Chief Executive Officer",NVIDIA Corporation (NVDA) Q2 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/08/18/nvidia-corporation-nvda-q2-2022-earnings-call-tran/
Simona Jankowski,Investor Relations,NVIDIA Corp (NVDA) Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/05/27/nvidia-corp-nvda-q1-2022-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corp (NVDA) Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/05/27/nvidia-corp-nvda-q1-2022-earnings-call-transcript/
Jensen Huang,"Founder, President and Chief Executive Officer",NVIDIA Corp (NVDA) Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/05/27/nvidia-corp-nvda-q1-2022-earnings-call-transcript/
Simona Jankowski,Vice President of Investor Relations and Strategic Finance,NVIDIA Corp (NVDA) Q4 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/02/25/nvidia-corp-nvda-q4-2021-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corp (NVDA) Q4 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/02/25/nvidia-corp-nvda-q4-2021-earnings-call-transcript/
Jensen Huang,"Founder, President and Chief Executive Officer",NVIDIA Corp (NVDA) Q4 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/02/25/nvidia-corp-nvda-q4-2021-earnings-call-transcript/
Simona Jankowski,"Vice President, Investor Relations",NVIDIA (NVDA) Q2 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/08/20/nvidia-nvda-q2-2021-earnings-call-transcript/
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA (NVDA) Q2 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/08/20/nvidia-nvda-q2-2021-earnings-call-transcript/
Jensen Huang,President and Chief Executive Officer,NVIDIA (NVDA) Q2 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/08/20/nvidia-nvda-q2-2021-earnings-call-transcript/
Simona Jankowski,Investor Relations,NVIDIA Corp (NVDA) Q1 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/05/22/nvidia-corp-nvda-q1-2021-earnings-call-transcript.aspx
Jensen Huang,"Founder, President and Chief Executive Officer",NVIDIA Corp (NVDA) Q1 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/05/22/nvidia-corp-nvda-q1-2021-earnings-call-transcript.aspx
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corp (NVDA) Q1 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/05/22/nvidia-corp-nvda-q1-2021-earnings-call-transcript.aspx
Simona Jankowski,Vice President of Investor Relations,NVIDIA Corp (NVDA) Q4 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/02/14/nvidia-corp-nvda-q4-2020-earnings-call-transcript.aspx
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corp (NVDA) Q4 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/02/14/nvidia-corp-nvda-q4-2020-earnings-call-transcript.aspx
Jensen Huang,President and Chief Executive Officer,NVIDIA Corp (NVDA) Q4 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/02/14/nvidia-corp-nvda-q4-2020-earnings-call-transcript.aspx
Simona Jankowski,Vice President-Investor Relations,NVIDIA Corp (NVDA) Q3 2019 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/11/14/nvidia-corp-nvda-q3-2019-earnings-call-transcript.aspx
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corp (NVDA) Q3 2019 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/11/14/nvidia-corp-nvda-q3-2019-earnings-call-transcript.aspx
Jensen Huang,"Founder, President and Chief Executive Officer",NVIDIA Corp (NVDA) Q3 2019 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/11/14/nvidia-corp-nvda-q3-2019-earnings-call-transcript.aspx
Simona Jankowski,Investor Relations,NVIDIA Corp (NVDA) Q2 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/08/16/nvidia-corp-nvda-q2-2020-earnings-call-transcript.aspx
Colette Kress,Executive Vice President and Chief Financial Officer,NVIDIA Corp (NVDA) Q2 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/08/16/nvidia-corp-nvda-q2-2020-earnings-call-transcript.aspx
Jensen Huang,President and Chief Executive Officer,NVIDIA Corp (NVDA) Q2 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/08/16/nvidia-corp-nvda-q2-2020-earnings-call-transcript.aspx
Simona Jankowski,Vice President of Investor Relations,NVIDIA Corp (NVDA) Q1 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/05/20/nvidia-corp-nvda-q1-2020-earnings-call-transcript.aspx
Colette Kress,EVP and Chief Financial Officer,NVIDIA Corp (NVDA) Q1 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/05/20/nvidia-corp-nvda-q1-2020-earnings-call-transcript.aspx
Jensen Huang,"Co-Founder, President and Chief Executive Officer",NVIDIA Corp (NVDA) Q1 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2019/05/20/nvidia-corp-nvda-q1-2020-earnings-call-transcript.aspx
